day,time,power,Apartment
8,21:30:00,4.1572632884983,5
8,22:30:00,2.99696011781735,5
8,23:30:00,3.6023884447414334,5
9,00:30:00,33.969855737687475,5
9,01:30:00,33.30068428039497,5
9,02:30:00,48.94901136398332,5
9,03:30:00,92.61846747079686,5
9,04:30:00,682.8548412195382,5
9,05:30:00,786.8388246791676,5
9,06:30:00,351.9007876618829,5
9,07:30:00,108.43050614992492,5
9,08:30:00,80.65705756822913,5
9,09:30:00,89.53113874436323,5
9,10:30:00,63.18200099945255,5
9,11:30:00,31.924937038421486,5
9,12:30:00,68.16420606293283,5
9,13:30:00,206.85924719492442,5
9,14:30:00,144.82085943538414,5
9,15:30:00,92.91304416870065,5
9,16:30:00,95.74199474017007,5
9,17:30:00,44.24665209134452,5
9,18:30:00,36.531625912984815,5
